experiment,level,system,precision,recall,f1
sensor_noise,0.1,distributed,0.8096590909090909,0.9047619047619048,0.8545727136431784
sensor_noise,0.2,distributed,0.8084507042253521,0.9111111111111111,0.8567164179104477
sensor_noise,0.3,distributed,0.8,0.9015873015873016,0.8477611940298507
missing_values,0.05,distributed,0.8061797752808989,0.9111111111111111,0.8554396423248882
missing_values,0.1,distributed,0.8084507042253521,0.9111111111111111,0.8567164179104477
missing_values,0.2,distributed,0.8142857142857143,0.9047619047619048,0.8571428571428571
sensor_failure,0.1,distributed,0.7972602739726027,0.9238095238095239,0.8558823529411764
sensor_failure,0.2,distributed,0.8011049723756906,0.9206349206349206,0.8567208271787297
sensor_failure,0.3,distributed,0.7966573816155988,0.9079365079365079,0.8486646884272997
node_dropout,0.1,distributed,0.8255813953488372,0.9015873015873016,0.8619119878603946
node_dropout,0.2,distributed,0.8245614035087719,0.8952380952380953,0.8584474885844748
node_dropout,0.3,distributed,0.8197674418604651,0.8952380952380953,0.8558421851289834
