Model,Validation,Arithmetic,Mirror,Stroop,Average
KNN,SD,97.30,97.31,97.56,97.39
RandomForest,SD,93.52,94.40,90.60,92.84
XGBoost,SD,75.34,75.11,77.32,75.92
CatBoost,SD,71.71,78.19,73.95,74.62
AdaBoost,SD,63.67,63.83,63.80,63.77
LinearSVC,SD,61.99,59.81,62.34,61.38
LogisticRegression,SD,61.86,59.67,62.33,61.29
KNN,SI,44.83,47.78,49.65,47.42
RandomForest,SI,46.12,49.62,53.36,49.70
XGBoost,SI,48.07,51.94,54.39,51.47
CatBoost,SI,48.81,52.37,56.20,52.46
AdaBoost,SI,54.07,53.35,58.44,55.29
LinearSVC,SI,46.81,50.94,53.78,50.51
LogisticRegression,SI,46.50,50.73,53.17,50.13
Voting,SD,76.01,76.58,78.88,77.16
Voting,SI,46.67,50.70,53.87,50.41
Bagging,SD,61.11,62.65,65.68,63.15
Bagging,SI,50.68,52.92,57.42,53.67
Stacking,SD,80.06,80.14,83.56,81.25
Stacking,SI,46.05,50.13,52.92,49.70
